0.0, 7.0, 0.5, 0.0, 0.0, 0.0, 1.0,
1.0, 7.0, 0.5, 0.0, 0.0, 0.0, 1.0,
2.0, 7.0, 0.5, 0.0, 0.0, 0.0, 1.0,
3.0, 7.0, 0.5, 0.0, 0.0, 0.1305262, 0.9914449,
4.0, 7.5, 0.5, 0.0, 0.0, -0.1305262, 0.9914449,
5.0, 7.5, 0.5, 0.0, 0.0, -0.1305262, 0.9914449,
6.0, 8.5, 0.5, 0.0, 0.0, -0.1305262, 0.9914449,
8.0, 8.5, 0.5, 0.0, 0.0, 0.1305262, 0.9914449,
10.0, 8.5, 0.5, 0.0, 0.0, 0.1305262, 0.9914449,
11.0, 8.5, 0.5, 0.0, 0.0, 0.258819, 0.9659258,
13.0, 7.5, 0.5, 0.0, 0.0, 0.258819, 0.9659258,
14.0, 7.5, 0.5, 0.0, 0.0, 0.258819, 0.9659258,
